"","business_id","full_address","open","city","review_count","name","longitude","state","stars","latitude","Take-out","Noise Level","Delivery","Has TV","Outdoor Seating","Attire","Accepts Credit Cards","Price Range","Smoking","Wi-Fi","Suggest_For","Environment","Parkingcondition","Musiccondition"
"29","wqu7ILomIOPSduRwoWp4AQ","2180 Greentree Rd
Pittsburgh, PA 15220",TRUE,"Pittsburgh",16,"Denny's",-80.073788,"PA",3.5,40.39114,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","brunch","Not Mentioned","No parking","No Record"
"31","P1fJb2WQ1mXoiudj8UE44w","200 E Main St
Carnegie
Carnegie, PA 15106",TRUE,"Carnegie",81,"Papa J's",-80.085153,"PA",3.5,40.4081527,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"32","8QlnAcjGE6dgfKTVoxrPvQ","300 Davis Blvd
Etna
Pittsburgh, PA 15275",TRUE,"Pittsburgh",3,"Boston Market",-79.958717,"PA",2.5,40.495167,"TRUE","quiet","FALSE","FALSE","FALSE","casual","TRUE","2","No Record","no","No Record","Not Mentioned","No Record","No Record"
"34","t_gan0EXAw8csKIeFyazJw","820 Amity St
Homestead
Homestead, PA 15120",TRUE,"Homestead",4,"Homestead Capri Pizza",-79.9105266,"PA",2,40.4067047,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","Not Mentioned","Not Mentioned","No Record","No Record"
"35","PK6aSizckHFWk8i0oxt5DA","400 Waterfront Dr E
Homestead
Homestead, PA 15120",TRUE,"Homestead",12,"McDonald's",-79.9098858,"PA",2,40.412012,"TRUE","very_loud","FALSE","FALSE","TRUE","casual","TRUE","1","No Record","free","Not Mentioned","Not Mentioned","No parking","No Record"
"36","3gmBc0qN_LtGbZAjTtHWZg","270 W Bridge St
Homestead
Homestead, PA 15120",TRUE,"Homestead",25,"Starbucks",-79.916958,"PA",3.5,40.407091,"TRUE","No Record","FALSE","No Record","TRUE","No Record","TRUE","2","No Record","free","No Record","No Record","Can parking","No Record"
"37","sZ4uYs99km644ZMR1TO76A","3619 Main St
Homestead, PA 15120",TRUE,"Homestead",3,"Randy's Beer Barrel Pub",-79.9036345,"PA",2.5,40.3846329,"No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record"
"41","6ilJq_05xRgek_8qUp36-g","650 E  Waterfront Dr
Homestead
Munhall, PA 15120",TRUE,"Munhall",60,"Steak 'n Shake",-79.9044562,"PA",2,40.413496,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","latenight","casual","Can parking","No Record"
"43","MKyk4F4HSzHF8v-4cYe3Ww","171 E Bridge St
Homestead
Homestead, PA 15120",TRUE,"Homestead",32,"Sing Sing",-79.9152619,"PA",3.5,40.4094353,"FALSE","very_loud","FALSE","FALSE","FALSE","casual","TRUE","2","no","no","latenight","casual","Can parking","live"
"46","1qCuOcks5HRv67OHovAVpg","122 W 8th Ave
Homestead
Homestead, PA 15120",TRUE,"Homestead",33,"Duke's Upper Deck Cafe",-79.912595,"PA",3.5,40.405311,"TRUE","loud","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","free","lunch","No Record","Can parking","No Record"
"47","sbW8qHJgzEIH42B0S-3New","180 E Waterfront Dr
Homestead
Homestead, PA 15120",TRUE,"Homestead",106,"Dave & Buster's",-79.9141865,"PA",2.5,40.4092932,"TRUE","very_loud","FALSE","TRUE","FALSE","casual","TRUE","2","no","free","latenight","casual","Can parking","dj"
"49","W7ysp8GLCBrs0GXIVwAcBQ","610 William Marks Way
Homestead
Homestead, PA 15120",TRUE,"Homestead",7,"Wendy's",-79.9017997,"PA",3,40.4097098,"TRUE","quiet","FALSE","No Record","FALSE","casual","TRUE","1","No Record","free","Not Mentioned","Not Mentioned","No parking","No Record"
"51","-taSf0shFSUKy9iCXnySsA","2615 Main St
Homestead, PA 15120",TRUE,"Homestead",6,"Italian Village Pizza",-79.9000102,"PA",2.5,40.3925524,"No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record"
"52","McikHxxEqZ2X0joaRNKlaw","171 E Bridge St
Homestead
Homestead, PA 15120",TRUE,"Homestead",148,"Rock Bottom",-79.9152619,"PA",3.5,40.4094353,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"54","tv8cS4aaA1VDaInYgggb6g","166 East Bridge St
Homestead
Homestead, PA 15120",TRUE,"Homestead",45,"Pittsburgh Improv Comedy Club",-79.9148773,"PA",3,40.4089186,"No Record","very_loud","No Record","TRUE","FALSE","No Record","TRUE","2","no","No Record","No Record","casual","Can parking","No Music"
"55","eT5Ck7Gg1dBJobca9VFovw","420 Waterfront Dr E
Homestead
Homestead, PA 15120",TRUE,"Homestead",31,"Giant Eagle",-79.908469,"PA",3.5,40.4111498,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"57","EoAY1JSVeJriBzId8lUQwQ","244 W Bridge St
Homestead
West Homestead, PA 15120",TRUE,"West Homestead",92,"Bar Louie",-79.9173143507142,"PA",2.5,40.4070737196062,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","outdoor","free","dinner","casual","Can parking","No Music"
"61","TfvWSIAMFZ9zI3y2-K6wOA","3360 Main St
Munhall, PA 15120",TRUE,"Munhall",7,"The Dragon Chinese Cuisine",-79.9029475,"PA",3,40.3868368,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","Not Mentioned","Not Mentioned","No parking","No Record"
"62","tU-YtoW339PXJmUGSix_AQ","185 Waterfront Dr E
Homestead
Homestead, PA 15120",TRUE,"Homestead",23,"TGI Fridays",-79.9155451418884,"PA",2.5,40.4108743190118,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","free","dessert","Not Mentioned","No Record","background_music"
"63","6p9TlP2I8S4agxYMNFSDjg","205 East Waterfront Drive
Homestead
Homestead, PA 15120",TRUE,"Homestead",55,"Uno Pizzeria & Grill",-79.9141364,"PA",3,40.410967,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","free","dinner","casual","Can parking","No Record"
"67","JDDeaNfb0JXD1NbznSIC9g","148 West Bridge St
Homestead
Homestead, PA 15120",TRUE,"Homestead",95,"P.F. Chang's",-79.916091,"PA",3,40.407143,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"70","FiXamVMgMf9U0VqFHDZSEA","210 W Bridge St
Homestead
West Homestead, PA 15120",TRUE,"West Homestead",25,"Panera Bread",-79.916603,"PA",3,40.407174,"TRUE","average","FALSE","FALSE","TRUE","casual","TRUE","1","No Record","free","brunch, breakfast","casual","Can parking","No Record"
"74","uLnDFdn011hEroQQMLmxNQ","3502 Main St
Munhall, PA 15120",TRUE,"Munhall",12,"The Pizza Company",-79.9032997,"PA",4,40.3857182,"TRUE","loud","TRUE","No Record","FALSE","casual","No Record","1","No Record","No Record","No Record","Not Mentioned","No parking","No Record"
"77","eznh0XjVtv924K-KYx_ilQ","245 Waterfront Dr E
Homestead
Homestead, PA 15120",TRUE,"Homestead",51,"Eat'n Park",-79.9132525,"PA",3,40.4113236,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","dessert, brunch, breakfast","casual","Can parking","No Record"
"80","usSROUMiAgPcxV3Ym0OxMQ","185 W Waterfront Dr
Homestead
Homestead, PA 15120",TRUE,"Homestead",122,"Mitchell's Fish Market",-79.9180766055519,"PA",3.5,40.4089628543918,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","3","No Record","free","lunch, dinner","casual","Can parking","No Record"
"83","WaHXyBwljbKNPmmJZn5j8Q","1886 Homeville Rd
West Mifflin, PA 15122",TRUE,"West Mifflin",3,"Shop 'n Save",-79.8737336,"PA",3,40.3736775,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","No parking","No Record"
"84","bCw9HKDFLU_PppnNg-nIlw","1356 Hoffman Blvd
West Mifflin, PA 15122",TRUE,"West Mifflin",4,"Giant Eagle",-79.868392,"PA",2.5,40.3823673,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","No parking","No Record"
"85","CL3tZqbYT7B5zgewKCS6-Q","Kennywood & Hoffman
West Mifflin, PA 15122",TRUE,"West Mifflin",5,"McDonald's",-79.8626605,"PA",1.5,40.3849854,"FALSE","No Record","FALSE","FALSE","No Record","casual","FALSE","1","No Record","No Record","Not Mentioned","No Record","No Record","No Record"
"86","u22QDAON1kk0wjoTliyftw","4426 Kennywood Blvd
West Mifflin, PA 15122",TRUE,"West Mifflin",6,"Latina Pizza",-79.868305,"PA",4.5,40.389192,"TRUE","No Record","FALSE","No Record","No Record","casual","FALSE","1","No Record","No Record","Not Mentioned","No Record","No parking","No Record"
"88","53Yk2EODWnV9qHQECzeHVQ","1842 Homeville Rd
West Mifflin, PA 15122",TRUE,"West Mifflin",6,"Bellisario Pizza Shop",-79.8737336,"PA",3.5,40.3736775,"TRUE","quiet","TRUE","FALSE","FALSE","casual","No Record","1","No Record","no","Not Mentioned","Not Mentioned","No parking","No Record"
"90","iBZRphMDFcS2aMbawc1OvA","1822 Homeville Rd
West Mifflin, PA 15122",TRUE,"West Mifflin",3,"Hunan Wok Chinese Restaurant",-79.8737336,"PA",5,40.3736775,"TRUE","quiet","FALSE","FALSE","FALSE","casual","FALSE","1","No Record","no","Not Mentioned","Not Mentioned","No Record","No Record"
"91","hnHt6EinzC-IX6y3GSF7jw","927 5th Ave
McKeesport, PA 15132",TRUE,"McKeesport",15,"Minerva Bakery",-79.8546832,"PA",5,40.3520269,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"93","GJAv1nAfnHuab8oRyr8mXg","301 Chartiers Ave
McKees Rocks, PA 15136",TRUE,"McKees Rocks",5,"Eat'n Park Restaurant",-80.0579296,"PA",4,40.4641404,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","Not Mentioned","Not Mentioned","Can parking","No Record"
"94","r8BwdblCW-ZUES37BL0khw","719 Broadway Ave
McKees Rocks, PA 15136",TRUE,"McKees Rocks",21,"Broadway Brunch",-80.074153,"PA",4.5,40.472505,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","free","brunch","Not Mentioned","Can parking","No Record"
"95","mIiHJkpK8nZvW_45LlhrbA","824 Chartiers Ave
Mc Kees Rocks, PA 15136",TRUE,"Mc Kees Rocks",13,"Pasquarelli's Pizza House",-80.0653115,"PA",4,40.4660004,"TRUE","quiet","TRUE","FALSE","FALSE","casual","FALSE","2","No Record","No Record","Not Mentioned","Not Mentioned","No parking","No Record"
"96","U--dvTM2j2q-ulb_xKniQg","500 Pine Hollow Rd
Mc Kees Rocks, PA 15136",TRUE,"Mc Kees Rocks",4,"Hunan Wok",-80.0972720598058,"PA",2,40.4739107190624,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","2","No Record","no","Not Mentioned","No Record","No parking","No Record"
"97","OZfpG8tDCcIEq8pzgZdyKw","6570 Rt 60 Steubenville Pike
McKees Rocks, PA 15136",TRUE,"McKees Rocks",9,"Applebee's",-80.0656106,"PA",3.5,40.46562,"TRUE","No Record","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","No Record","Not Mentioned","Not Mentioned","No Record","No Record"
"99","OSYHPhvDWMqBRDZblqGiZA","1800 McKees Rocks Rd
McKees Rocks, PA 15136",TRUE,"McKees Rocks",4,"Giant Eagle",-80.0976522888032,"PA",3.5,40.4679583981456,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","No parking","No Record"
"100","VtPjyHcHY7onieHNSjLDsA","826 Island Ave
Mc Kees Rocks, PA 15136",TRUE,"Mc Kees Rocks",4,"Club Erotica",-80.0632712,"PA",2.5,40.4738958,"No Record","loud","No Record","FALSE","FALSE","No Record","TRUE","2","No Record","No Record","No Record","Not Mentioned","No parking","No Record"
"101","8Nm_jcCYtMXYW0ODSHDiXA","4260 Steubenville Pike
Pittsburgh, PA 15205",TRUE,"Pittsburgh",10,"Sapporo Japanese Steakhouse",-80.0909106,"PA",4,40.4400036,"TRUE","quiet","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","no","dinner","Not Mentioned","Can parking","No Record"
"102","9tAbTDdYTASHL7EU1e-OWw","500 Pine Hollow Rd
Mc Kees Rocks, PA 15136",TRUE,"Mc Kees Rocks",3,"Ricci Italian Sausage",-80.0969955,"PA",4.5,40.4736321,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","No parking","No Record"
"104","fJjBMRGnkzc7nVm6VqxoxQ","564 Lincoln Ave
Bellevue
Bellvue, PA 15202",FALSE,"Bellvue",3,"Frankfurters",-80.0575037,"PA",4.5,40.4966341,"TRUE","average","No Record","TRUE","FALSE","casual","No Record","1","No Record","no","Not Mentioned","Not Mentioned","No parking","No Record"
"105","T49ZvBa6mD4xHSmjHe-ArA","421 Lincoln Ave
Bellevue
Bellvue, PA 15202",TRUE,"Bellvue",17,"R & B's Pizza Place",-80.0532928,"PA",4,40.4941577,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","no","dinner","Not Mentioned","Can parking","No Record"
"106","eOv0Dbq2E8sd0CKMAqTImw","531 Lincoln Ave
Bellevue
Bellevue, PA 15202",TRUE,"Bellevue",18,"Luigi's Pizzeria",-80.056877,"PA",4,40.495887,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","2","No Record","No Record","lunch","casual","Can parking","No Record"
"107","_jsJFrAmFVPRio0eEVExbA","4557 Ohio River Blvd
Bellevue
Pittsburgh, PA 15202",TRUE,"Pittsburgh",6,"McDonald's",-80.06235,"PA",2.5,40.492067,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","free","Not Mentioned","Not Mentioned","Can parking","No Record"
"108","Lml0-yTNsMYsP9IrSMxw9A","610 Lincoln Ave
Bellevue
Bellevue, PA 15202",TRUE,"Bellevue",11,"China Sea Chinese Restaurant",-80.0583585,"PA",2.5,40.4972056,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","no","Not Mentioned","Not Mentioned","No parking","No Record"
"111","JX2gDf2uy2UGuKPpcKT-IA","1015 Ohio River Blvd
Bellevue
Pittsburgh, PA 15202",TRUE,"Pittsburgh",5,"Wendy's",-80.0635357,"PA",1.5,40.4940896,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","No Record","Not Mentioned","No parking","No Record"
"113","QVZBd_eu0oJ4IN0md2XPTQ","565 Lincoln Ave
Bellevue
Bellevue, PA 15202",FALSE,"Bellevue",3,"Vivo",-80.057809,"PA",5,40.4964326,"FALSE","No Record","FALSE","No Record","FALSE","dressy","TRUE","4","No Record","No Record","Not Mentioned","No Record","Can parking","No Record"
"116","7wT532x2Qz5Hw9BqtBapqw","543 Lincoln Ave
Bellevue
Bellevue, PA 15202",TRUE,"Bellevue",25,"Lincoln Bakery",-80.0572126,"PA",4,40.4961113,"TRUE","No Record","FALSE","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"119","udZJ8YgsHdqtFDQkyPTV1Q","4260 Ohio River Blvd
Bellevue
Pittsburgh, PA 15202",TRUE,"Pittsburgh",4,"Arby's",-80.055667,"PA",3,40.4876741,"TRUE","quiet","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","Not Mentioned","Not Mentioned","No parking","No Record"
"120","oMoSc4tTay_THqF4Ke_WrQ","661 Lincoln Ave
Bellevue
Bellevue, PA 15202",TRUE,"Bellevue",8,"Kuhn's Market",-80.0601298,"PA",3.5,40.4977839,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"122","ucKQlQvOeJxETLNkpKcaSw","560 Lincoln Ave
Bellevue
Bellevue, PA 15202",TRUE,"Bellevue",32,"Rusty Nail",-80.057381,"PA",3.5,40.4966408,"TRUE","average","FALSE","TRUE","FALSE","casual","FALSE","1","No Record","no","brunch","casual","Can parking","No Record"
"123","Rjx8GcWuCzfVsKC5iPIcQA","3860 Chartiers Ave
Windgap
Pittsburgh, PA 15204",TRUE,"Pittsburgh",11,"Remember When",-80.0769711,"PA",3.5,40.4590742,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","no","No Record","No Record","Can parking","No Record"
"126","s74Tq6WKV1b91UFRr7ch7g","5514 Penn Ave
Friendship
Pittsburgh, PA 15206",TRUE,"Pittsburgh",17,"Pistella Beer Distributors",-79.9319247,"PA",4,40.4637338,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"128","ZL6DNzyenFm9Kpz6uADlNg","6738 Reynolds St
Point Breeze
Pittsburgh, PA 15206",TRUE,"Pittsburgh",65,"Pino's Contemporary Italian Restaurant & Wine Bar",-79.9145,"PA",3,40.450249,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"135","BG4N0V93wml9kaU6YYRxRA","6320 Shakespeare St
Ste 7
Shadyside
Pittsburgh, PA 15206",TRUE,"Pittsburgh",18,"Giant Eagle",-79.921053,"PA",2.5,40.458577,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"137","OcTG-KzDleuRub-pb6JS3Q","1744 Chislett St
Morningside
Pittsburgh, PA 15206",TRUE,"Pittsburgh",8,"Eddie's Pizza Haus",-79.9259754,"PA",4,40.4852541,"TRUE","average","TRUE","No Record","FALSE","casual","TRUE","2","No Record","no","Not Mentioned","Not Mentioned","No parking","No Record"
"139","Y2p07YEC8xOsYTHWf0UxiA","213 S Highland Ave
Shadyside
Pittsburgh, PA 15206",TRUE,"Pittsburgh",26,"Tasty Chinese Restaurant",-79.9246661,"PA",3,40.458497,"TRUE","quiet","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","no","lunch","No Record","Can parking","No Record"
"140","g58NW9q4F09wTMiI7EIjmg","420 N Highland Ave
East Liberty
Pittsburgh, PA 15206",TRUE,"Pittsburgh",17,"Vento's Pizza",-79.9229971,"PA",3,40.4653904,"TRUE","average","FALSE","FALSE","TRUE","casual","FALSE","1","No Record","no","lunch","casual","Can parking","No Record"
"141","Pu5uzlZ05pqVlx6LcZbfgw","226 Shady Ave
Shadyside
Pittsburgh, PA 15206",FALSE,"Pittsburgh",8,"Minutello's Restaurant & Lounge",-79.9223818,"PA",3,40.4588237,"TRUE","quiet","TRUE","No Record","TRUE","casual","TRUE","2","No Record","free","Not Mentioned","Not Mentioned","Can parking","No Record"
"149","83_p9vIqOq1TUIf3_GD7bA","1125 N Highland Ave
Highland Park
Pittsburgh, PA 15206",TRUE,"Pittsburgh",117,"Tazza D'oro Cafe & Espresso Bar",-79.9188657,"PA",4.5,40.4748883,"TRUE","average","FALSE","FALSE","TRUE","casual","TRUE","1","No Record","free","breakfast","casual","Can parking","No Record"
"150","Ts4xsKPU7FNPPZRj-nRjIg","216 S Highland Ave
Shadyside
Pittsburgh, PA 15206",FALSE,"Pittsburgh",62,"Buffalo Blues",-79.9255146,"PA",3,40.4583902,"TRUE","loud","TRUE","TRUE","FALSE","casual","TRUE","2","no","no","latenight, dinner","casual","Can parking","No Record"
"151","UtWJ8NGMg-3z28s0RzlUoQ","6393 Penn Ave
Shadyside
Pittsburgh, PA 15206",TRUE,"Pittsburgh",18,"China Garden",-79.9181411,"PA",3,40.4579893,"TRUE","quiet","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","lunch","Not Mentioned","Can parking","No Record"
"156","bZcqORBnVApUA2-SEn7VEQ","6361 Penn Ave
East Liberty
Pittsburgh, PA 15206",TRUE,"Pittsburgh",8,"McDonald's",-79.9184470785759,"PA",2,40.4588455683473,"TRUE","No Record","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","free","breakfast","Not Mentioned","No parking","No Record"
"160","YMEtEsUDQKOYJOcE5Fx3gQ","5906 Bryant St
Highland Park
Pittsburgh, PA 15206",TRUE,"Pittsburgh",41,"Food Glorious Food",-79.9196258,"PA",4.5,40.4754755,"TRUE","No Record","FALSE","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"163","ZDKi3qsO8lSSogrIdbLJKg","5972 Baum Blvd
East Liberty
Pittsburgh, PA 15206",FALSE,"Pittsburgh",28,"Shadow Lounge",-79.9253403,"PA",4.5,40.4605052,"No Record","average","No Record","TRUE","FALSE","No Record","TRUE","1","outdoor","free","No Record","intimate, hipster","Can parking","dj, live"
"171","B9C6j80ob0f1pwi1Cnnd1Q","217 S Highland Ave
Shadyside
Pittsburgh, PA 15206",TRUE,"Pittsburgh",37,"Pizza Parma",-79.9251182,"PA",3,40.4582251,"TRUE","quiet","TRUE","FALSE","FALSE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"174","wfCLz9-aeShbPB7CaTY-qQ","5880 Centre Ave
Shadyside
Pittsburgh, PA 15206",TRUE,"Pittsburgh",111,"Whole Foods Market",-79.928830198608,"PA",3.5,40.4585106474725,"TRUE","No Record","FALSE","No Record","No Record","No Record","TRUE","3","No Record","No Record","Not Mentioned","No Record","Can parking","No Record"
"180","tvXTHj9V5sgRoeVJW_FiTg","5700 Centre Ave
Shadyside
Pittsburgh, PA 15206",FALSE,"Pittsburgh",12,"Jimmy Tsang's Chinese Restaurant",-79.9334864,"PA",3,40.4571291,"TRUE","No Record","TRUE","No Record","FALSE","casual","TRUE","2","No Record","No Record","dinner","No Record","Can parking","No Record"
"183","2SwC8wqpZC4B9iFVTgYT9A","229 S Highland Ave
Shadyside
Pittsburgh, PA 15206",TRUE,"Pittsburgh",276,"Casbah",-79.924797,"PA",4,40.458138,"TRUE","average","FALSE","FALSE","TRUE","dressy","TRUE","3","no","free","dinner","trendy","Can parking","No Music"
"185","PzG0XmAmtXFs6Fdnubf41g","5430 Penn Ave
Bloomfield
Pittsburgh, PA 15206",FALSE,"Pittsburgh",144,"Quiet Storm Vegetarian & Vegan Cafe",-79.935388,"PA",4,40.464485,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","free","lunch, brunch, breakfast","hipster","Can parking","No Record"
"186","lHP5STO7aomlEQixH8m1aA","258 S Highland Ave
Shadyside
Pittsburgh, PA 15206",TRUE,"Pittsburgh",81,"Pizza Perfectta",-79.9253542,"PA",4,40.4572561,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"188","EPILrBqmgQxd-R1gZ1EWJg","7103 Reynolds St
Point Breeze
Pittsburgh, PA 15208",TRUE,"Pittsburgh",16,"Frick Park Market",-79.9051228,"PA",4.5,40.4472143,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
